   DC: 0.54   V: 31.08V |  0.00V |  0.00V   P: 131.55W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.56   V: 28.51V |  0.00V |  0.00V   P: 121.48W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.58   V: 26.02V |  0.00V |  0.05V   P: 110.64W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
   DC: 0.60   V: 23.57V |  0.03V |  0.03V   P: 100.82W |  0.00W |  0.00W   MPP V:  0.00V |  0.00V |  0.00V   MPP P:  0.00W |  0.00W |  0.00W   BE: 1
/////////////////////////////
// TARGET:
//
//  MPP DC: 0.44 | 0.28 | 0.24
//  MPP POWER: 173.82W |  0.00W |  0.00W
//  MPP Vin: 43.58 |  0.20 |  0.20
//
/////////////////////////////
DC: 0.00 | 0.00 | 0.00    Vin: 23.24V |  0.05V |  0.08V   Vref: 43.58V |  0.20V |  0.20V    Vout: 59.13V    Iin:  4.26A |  0.02A |  0.02A    Pin: 99.03W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.94V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.27V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.21W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.94V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.41W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.34W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.91V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.97W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.14W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.88V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.14W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.11V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.86V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.10W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.11V    Iin:  1.38A |  0.01A |  0.02A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.58V |  0.20V |  0.20V    Vout: 50.11V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.19V    Iin:  1.38A |  0.01A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.07W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.81V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.19V    Iin:  1.38A |  0.02A |  0.01A    Pin: 70.03W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.01A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.83V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.11V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.86W    BE: 1
DC: 0.00 | 0.00 | 0.00    Vin: 50.78V |  0.00V |  0.00V   Vref: 43.83V |  0.45V |  0.45V    Vout: 50.19V    Iin:  1.37A |  0.02A |  0.01A    Pin: 69.79W    BE: 1
