des: 53.50 | now: 53.56 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.51 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.48 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.53 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.50 | now: 53.53 | du: 0.223 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.53 | du: 0.226 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.43 | du: 0.227 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.43 | du: 0.229 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.35 | du: 0.230 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.33 | du: 0.231 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.28 | du: 0.232 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.28 | du: 0.233 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.23 | du: 0.234 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.23 | du: 0.235 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.23 | du: 0.235 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.18 | du: 0.236 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.15 | du: 0.236 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.15 | du: 0.237 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.13 | du: 0.237 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.13 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.238 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.05 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.05 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.07 | du: 0.240 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.240 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.240 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 52.95 | du: 0.239 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.240 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.00 | du: 0.240 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.240 | p_: 00.10 | i_: 00.10
des: 53.00 | now: 53.02 | du: 0.240 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 53.02 | du: 0.242 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.92 | du: 0.244 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.87 | du: 0.245 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.82 | du: 0.246 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.82 | du: 0.247 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.74 | du: 0.248 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.77 | du: 0.249 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.72 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.67 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.250 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.251 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.59 | du: 0.252 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.59 | du: 0.252 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.252 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.62 | du: 0.253 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.253 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.57 | du: 0.253 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.54 | du: 0.253 | p_: 00.10 | i_: 00.10
des: 52.50 | now: 52.51 | du: 0.253 | p_: 00.10 | i_: 00.10
        Duty: 0.000 | Vin: 56.714 | Iin: 1.565 | Pow: 88.780 | MPP Pow: 0.000
        Duty: 0.010 | Vin: 56.511 | Iin: 1.639 | Pow: 92.597 | MPP Pow: 88.780
        Duty: 0.020 | Vin: 56.434 | Iin: 1.687 | Pow: 95.225 | MPP Pow: 92.597
        Duty: 0.030 | Vin: 56.332 | Iin: 1.720 | Pow: 96.886 | MPP Pow: 95.225
        Duty: 0.040 | Vin: 56.205 | Iin: 1.765 | Pow: 99.180 | MPP Pow: 96.886
        Duty: 0.050 | Vin: 56.129 | Iin: 1.797 | Pow: 100.871 | MPP Pow: 99.180
        Duty: 0.060 | Vin: 56.052 | Iin: 1.834 | Pow: 102.785 | MPP Pow: 100.871
        Duty: 0.070 | Vin: 55.951 | Iin: 1.866 | Pow: 104.419 | MPP Pow: 102.785
        Duty: 0.080 | Vin: 55.874 | Iin: 1.907 | Pow: 106.548 | MPP Pow: 104.419
        Duty: 0.090 | Vin: 55.772 | Iin: 1.935 | Pow: 107.941 | MPP Pow: 106.548
        Duty: 0.100 | Vin: 55.645 | Iin: 1.980 | Pow: 110.183 | MPP Pow: 107.941
        Duty: 0.110 | Vin: 55.518 | Iin: 2.021 | Pow: 112.189 | MPP Pow: 110.183
        Duty: 0.120 | Vin: 55.416 | Iin: 2.074 | Pow: 114.912 | MPP Pow: 112.189
        Duty: 0.130 | Vin: 55.263 | Iin: 2.114 | Pow: 116.842 | MPP Pow: 114.912
        Duty: 0.140 | Vin: 55.136 | Iin: 2.167 | Pow: 119.488 | MPP Pow: 116.842
        Duty: 0.150 | Vin: 54.983 | Iin: 2.212 | Pow: 121.616 | MPP Pow: 119.488
        Duty: 0.160 | Vin: 54.805 | Iin: 2.257 | Pow: 123.673 | MPP Pow: 121.616
        Duty: 0.170 | Vin: 54.678 | Iin: 2.285 | Pow: 124.942 | MPP Pow: 123.673
        Duty: 0.180 | Vin: 54.449 | Iin: 2.346 | Pow: 127.739 | MPP Pow: 124.942
        Duty: 0.190 | Vin: 54.271 | Iin: 2.383 | Pow: 129.307 | MPP Pow: 127.739
        Duty: 0.200 | Vin: 54.067 | Iin: 2.444 | Pow: 132.119 | MPP Pow: 129.307
